Target,Year,Uniprot,ProteinName,Resolution,pIC50,Unit,Molecule ID,pose_rank,num_torsions,energy,rmsd
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,0,8,-1352.5896517415497,1.11932
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,1,8,-1211.5368234035277,5.39031
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,2,8,-1195.6134745342235,3.08068
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,3,8,-1060.091298062378,4.58118
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,4,8,-1025.5623696244993,5.00006
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,5,8,-1011.738308516052,2.19065
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,6,8,-802.7812769107665,4.24279
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,7,8,-678.7530231514589,7.23544
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,8,8,-1030.024117173747,5.11231
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,9,8,-984.9977783412093,1.21986
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,10,8,-577.790146135066,3.17089
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,11,8,-399.9552253665008,6.26414
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,12,8,-523.1220204317815,5.38788
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,13,8,-602.3801730018768,3.2115
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,14,8,-266.997558867254,9.97773
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,15,8,-510.5756704645358,9.32494
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,16,8,-456.7803481428969,9.85882
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,17,8,-326.09767003076354,8.97794
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,18,8,-440.087713785282,9.19502
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,19,8,-530.4146999076448,5.45807
2qbr,2008,P18031,PROTEIN-TYROSINE PHOSPHATASE 1B,2.3,6.33,Ki=0.47uM,910,20,8,-1149.550952022376,0.0
